"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000000915",1601,1942,2414,2349,2081,2077,2584,2015,2763,2155,2160,2187
"ENSMUSG00000000916",305,360,531,1185,859,1106,553,358,496,1095,945,950
"ENSMUSG00000000934",253,347,345,564,454,495,341,287,465,501,501,464
"ENSMUSG00000000938",355,526,589,580,607,814,590,477,748,578,483,712
"ENSMUSG00000000942",23,31,38,17,14,7,34,24,34,8,8,5
"ENSMUSG00000000948",42,52,59,0,3,1,73,52,79,1,0,0
"ENSMUSG00000000957",201,319,387,434,156,168,213,239,338,431,394,293
"ENSMUSG00000000958",226,400,414,283,162,204,486,404,676,341,429,400
"ENSMUSG00000000959",1512,2141,2060,1763,1554,1812,2535,2002,2775,1572,1643,1561
"ENSMUSG00000000976",1007,1493,1806,1440,1169,1427,1684,1280,1762,1241,1342,1244
"ENSMUSG00000000982",2052,2344,1998,448,342,393,577,584,686,158,151,345
"ENSMUSG00000000983",4,1,0,84,93,118,0,0,0,7,12,25
"ENSMUSG00000001014",44,41,48,330,245,321,76,74,99,459,457,349
"ENSMUSG00000001016",2282,2674,2729,4663,4180,4959,3327,2551,3474,4315,4476,4174
"ENSMUSG00000001017",2058,3109,3150,3513,3024,3657,4042,3223,4439,3048,3242,3005
"ENSMUSG00000001018",832,1322,1353,3071,2588,2587,1756,1506,2227,2924,3012,2686
"ENSMUSG00000001020",806,1010,1445,61,40,63,1125,1211,2560,69,70,95
"ENSMUSG00000001021",2,0,1,4,2,2,0,2,2,1,2,5
"ENSMUSG00000001023",21,50,63,10,15,28,41,42,53,20,9,14
"ENSMUSG00000001025",2183,2982,3371,791,597,778,2838,3234,5601,1155,880,1125
"ENSMUSG00000001027",7,3,4,0,7,7,3,2,5,0,3,3
"ENSMUSG00000001029",1123,1384,1552,2358,2044,2299,1591,1438,2050,1766,1745,1866
"ENSMUSG00000001034",565,743,898,893,622,799,1067,856,1229,1034,858,828
"ENSMUSG00000001036",4,4,2,3,4,4,7,5,3,3,6,1
"ENSMUSG00000001039",38,61,41,53,41,76,133,109,134,89,121,148
"ENSMUSG00000001052",1505,2080,2467,1678,1552,1993,2687,2279,3070,2031,2199,1940
"ENSMUSG00000001053",237,270,291,496,575,546,295,230,255,220,231,236
"ENSMUSG00000001054",880,1158,1389,2386,1969,2541,1867,1555,2278,2252,2107,2167
"ENSMUSG00000001056",1319,1373,1436,2833,2456,2727,1783,1302,1467,2648,2056,2328
"ENSMUSG00000001062",326,403,587,967,738,1022,731,552,762,902,863,898
"ENSMUSG00000001065",280,263,410,732,642,1014,537,379,535,754,806,839
"ENSMUSG00000001076",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000001082",2498,2764,3557,4929,4314,4777,3981,3127,4696,4662,4479,4086
"ENSMUSG00000001089",715,1118,1178,547,400,476,1705,1252,1833,704,693,618
"ENSMUSG00000001095",18,31,38,17,8,14,39,59,115,15,12,30
"ENSMUSG00000001098",894,1270,1563,1758,1624,1749,2144,1742,2711,1360,1583,1532
"ENSMUSG00000001100",1528,1992,1965,3781,3303,3540,2399,1989,2730,3689,3736,3589
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",1157,1530,1355,1139,1032,1297,1566,1338,2002,1143,1039,1028
"ENSMUSG00000001119",2,3,7,7,3,7,2,2,1,4,1,0
"ENSMUSG00000001120",174,238,305,678,607,849,267,209,288,611,674,702
"ENSMUSG00000001123",5524,9123,7244,18421,14106,15653,7735,8114,10922,12012,14742,11632
"ENSMUSG00000001127",1913,2471,3137,3770,3081,3801,3493,2619,3521,3921,3638,3511
"ENSMUSG00000001128",919,909,883,1124,1167,1417,743,491,647,358,516,454
"ENSMUSG00000001131",1,3,1,0,1,0,1,0,1,0,0,1
"ENSMUSG00000001134",88,123,140,157,110,144,161,129,172,141,122,107
"ENSMUSG00000001138",620,741,1075,2013,1895,2196,1165,842,1256,1850,2212,2009
"ENSMUSG00000001143",705,1000,1167,1497,1242,1484,1082,893,1283,1195,1356,1400
"ENSMUSG00000001150",1622,2434,2882,1443,1414,1461,3043,2548,3457,1320,1822,1605
"ENSMUSG00000001151",1927,2548,3666,2121,1581,1930,3762,2820,3956,1682,1774,1647
"ENSMUSG00000001155",0,0,0,0,4,0,0,0,0,0,1,0
"ENSMUSG00000001156",1238,1558,1651,767,904,995,774,725,1050,666,959,855
"ENSMUSG00000001157",666,980,1053,2368,2048,2119,1191,1036,1450,1889,2048,1961
"ENSMUSG00000001158",568,850,675,716,652,852,862,762,951,742,620,719
"ENSMUSG00000001166",210,383,375,211,214,143,396,407,595,149,178,166
"ENSMUSG00000001168",3,7,13,2,1,5,3,7,8,1,2,4
"ENSMUSG00000001173",1876,3019,4552,3129,2383,2963,4140,3490,5528,3565,3399,3119
"ENSMUSG00000001175",5511,6696,6959,8614,8086,9818,11300,9058,13457,10250,8642,9586
"ENSMUSG00000001211",979,1191,1283,821,933,1430,2125,1783,2433,1562,1410,1554
"ENSMUSG00000001225",1,0,1,2,4,0,0,0,0,1,0,0
"ENSMUSG00000001227",620,792,1302,195,149,181,1105,914,1343,177,210,127
"ENSMUSG00000001228",2318,2537,3206,5488,4814,5253,3967,2838,3716,3642,4742,3909
"ENSMUSG00000001229",956,1334,1589,2008,1537,1866,1952,1562,2110,1898,2008,2178
"ENSMUSG00000001240",13,4,6,111,42,56,43,23,22,61,37,72
"ENSMUSG00000001247",142,158,145,56,66,32,101,83,101,64,66,62
"ENSMUSG00000001248",5213,6819,9712,8669,6779,10025,6673,5453,8412,6685,8009,7752
"ENSMUSG00000001249",480,927,1012,61,55,104,158,413,492,59,79,39
"ENSMUSG00000001260",0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000001270",65,64,77,75,104,172,42,35,77,61,59,38
"ENSMUSG00000001280",3681,5570,5561,1764,1383,1778,6580,4911,6950,1446,1444,1549
"ENSMUSG00000001281",278,557,656,3341,2285,3070,310,315,551,875,985,1047
"ENSMUSG00000001285",647,719,925,1452,1231,1535,995,756,1131,1462,1333,1373
