"ID","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000206",1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"ENSMLUG00000000207",1,1,3,4,2,0,0,3,1,1,1,0,4,0,3,2,6,0
"ENSMLUG00000000208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000210",3,2,3,0,3,0,1,4,1,2,4,1,0,3,0,1,3,0
"ENSMLUG00000000211",0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0
"ENSMLUG00000000212",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMLUG00000000213",1,1,2,0,1,3,0,1,0,2,0,0,0,0,1,0,0,1
"ENSMLUG00000000214",2,4,1,2,1,0,1,2,1,1,0,1,0,1,1,4,0,0
"ENSMLUG00000000215",3,1,0,3,0,0,0,0,2,3,1,1,0,1,0,0,4,1
"ENSMLUG00000000216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000219",0,1,1,0,2,0,1,0,5,0,1,1,1,0,3,1,2,0
"ENSMLUG00000000220",1,1,1,1,0,0,1,0,2,0,0,1,1,0,4,0,0,0
"ENSMLUG00000000221",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3
"ENSMLUG00000000222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000224",1,1,0,0,1,1,0,4,1,1,1,0,0,2,0,1,0,0
"ENSMLUG00000000225",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"ENSMLUG00000000226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000227",1,0,1,1,1,4,0,1,3,0,2,4,1,1,2,1,0,3
"ENSMLUG00000000228",0,0,2,2,0,1,1,1,2,2,0,0,0,1,4,2,2,2
